Site_ID Site_time_routing
0 623.0
361 623.00595738716
877 623.0428340853217
911 623.070495953079
521 623.1083074313243
909 623.1484394835477
484 623.1893095774908
887 623.2339700766885
388 623.2818671418972
736 623.317718010249
508 623.3543060290338
544 623.3890195394556
471 623.4170325775716
669 623.4446407445362
688 623.4675787427312
787 623.496241451112
788 623.5178208044173
486 623.5513152186946
358 623.5803355534553
662 623.612489929715
708 623.6483552405386
402 623.6848981953864
650 623.7215906326664
726 623.7467233406151
760 623.7791103538073
373 623.8125991104283
276 623.8406589092573
645 623.8726562012197
673 623.8969435206621
742 623.9212261322724
750 623.9556327725234
456 623.9904755575288
906 624.028132264069
319 624.0733154022205
836 624.1121414154355
376 624.1472314550288
458 624.1721809172815
799 624.2115047876889
687 624.2386472871061
624 624.2681765710136
517 624.2931717051327
589 624.3172619335148
596 624.3473006798853
626 624.3778975491821
258 624.4117756367804
794 624.4542954635449
436 624.4946664619038
308 624.5204572438506
717 624.5535486381403
758 624.5765957142253
850 624.6026881177478
660 624.6332423277431
679 624.6679786819802
896 624.7015673554134
634 624.7333027901615
812 624.7656365242187
670 624.7926572193278
810 624.8185478033124
519 624.849112936714
582 624.8783770186667
547 624.9033141759837
878 624.9344648470085
793 624.9730315677928
766 624.9948174078899
309 625.0360483144393
382 625.0627579725746
540 625.0887141834592
490 625.1260718103047
789 625.1626512292601
539 625.1927192151404
815 625.2360659120843
442 625.280367685301
834 625.3148738269094
802 625.344338574091
488 625.3770347850441
575 625.4170168855588
548 627.1412671496581
759 627.1696583871662
841 627.2044785471434
463 627.3695130469324
695 627.4010281636322
0 623.0
68 623.0130655700656
114 623.0398689296168
22 623.0699071390591
143 623.1017835154129
111 623.1268283887986
129 623.1489949597693
82 623.1726364365079
297 623.2067069211453
223 623.2377189199466
174 623.2644903927738
1 623.3009338818108
118 623.3346395905619
72 623.3596822321279
110 623.383310120318
301 623.4144483133033
268 623.4366885909895
302 623.460087978033
218 623.4863453691516
16 623.5224336675789
245 623.5611361616569
2 623.603082774466
387 623.6488387238373
194 623.6844339286952
3 623.7222141986538
406 625.0678866873167
352 625.1009466170094
26 625.1438470876855
244 625.1838692104567
121 625.2145091471415
231 626.5333050650123
286 626.5584036848389
36 626.7875580203226
285 626.8254426171113
99 626.8583191374483
164 626.8840153581937
0 623.0
255 623.0150828995879
117 623.0470582442125
753 623.0973128241683
729 623.1201714328238
413 626.5378116029001
594 626.5666177437747
360 626.6014600725506
731 626.6392090231593
109 626.692645487408
894 626.7466123720795
271 626.797865014418
864 626.8561378841139
874 626.8864748287327
886 626.9165917447851
827 626.946653625773
778 626.9698680277401
277 627.0123166861641
817 627.060836805365
720 627.097310912257
552 627.1237273707353
577 627.1653558785854
184 627.2242088649605
151 627.2476219517739
404 627.2845633806982
558 627.3108472736211
391 627.3384517595296
158 627.3690860541544
138 627.3913262584172
426 627.4266942983319
437 627.4526191004053
457 627.4749129645205
10 627.5265221359826
581 627.5837421538316
503 627.6161214718995
155 627.6515356382272
203 627.6831707213769
562 629.3195208280345
535 629.3456038806456
700 629.37314376984
545 629.4011301392163
639 629.6891294376601
78 629.7402547660798
196 629.7690478056328
127 629.7952410458554
525 629.8332200060709
95 629.872955446563
438 629.9127747447775
0 623.0
640 624.0375174112852
644 628.299884178045
740 628.3250994940299
554 628.8146874445495
133 628.8591268744548
347 628.8934150552137
266 628.9182797431288
420 628.9505397612154
797 628.9908203263383
157 629.0467191287129
599 629.0901132582285
30 629.1415437578605
606 629.1908279572259
664 629.2247594306766
578 629.2540964168144
537 629.2951936462125
0 623.0
83 623.014059938552
479 623.05547562585
630 623.7613839403638
480 623.7875025543008
470 623.8222397021806
198 623.8690095430502
665 623.9179570837306
638 627.1361380785092
611 627.3807801601117
