id1	id3 	 s 	 delta* 	 gap real_cost gap_cycletime
0 0 693.0 0 0 0
764 162 693.0184775063868 693.0074638622941 1.5892533150122093E-5 0.07948451826099148 3.655168794921413E-4
621 121 693.0451839475094 693.0478089858422 3.787672796515875E-6 0.07123019281034942 7.196356838231798E-5
688 142 693.0729294959854 693.0537038974265 2.774041672485518E-5 0.06540538478444427 5.547914221598714E-4
317 53 693.1122144584084 693.0794092316471 4.733256582772471E-5 0.03794538764397285 6.626365741856729E-4
569 110 693.142595783592 693.0875746309592 7.938557066482147E-5 0.06877025105645963 0.0017464290662451564
331 55 693.1711920552925 693.1389148293678 4.656674908045577E-5 0.0666373028248079 7.916105397512493E-4
841 185 693.2122875171948 693.1521941837867 8.669572701683306E-5 0.06468128208682439 0.0018205548586658717
549 100 693.2502442059077 693.2525994986349 3.397452427737746E-6 0.09509637621541925 9.17282942061899E-5
403 69 693.2779429514655 693.2634014204622 2.097547768074761E-5 0.07203178319694789 4.8242114355365705E-4
763 161 693.3107324993946 693.3015994586102 1.3173257917634853E-5 0.04888690439630587 2.371116032339046E-4
868 191 693.3418715034824 693.4093519343396 9.731687446816353E-5 0.05804047372694604 0.0017516509672674669
633 126 693.3693154363721 693.6610959754317 4.206384656031238E-4 0.10481693479294983 0.011356871710945852
658 133 693.4000843200473 693.6968182901504 4.277574327564396E-4 0.06615769203970097 0.00812714333989283
885 193 693.4375138781825 693.7017189088613 3.8086258614778844E-4 0.09310430373450677 0.009140411742620914
867 190 693.465534876203 693.7746490238038 4.455541118945883E-4 0.05976030574988267 0.008019731852666785
541 98 693.5049901840308 693.865305333772 5.192868802797845E-4 0.08063313154498811 0.011943226100670896
729 154 693.5434291390426 693.9162350170886 5.372491076489522E-4 0.0645118853727163 0.01128188836524055
861 188 693.5714670874918 693.93285463672 5.207817252252558E-4 0.08757704433703886 0.011456837035887343
470 79 693.6061603155234 694.003228197159 5.721412603037899E-4 0.08322623390808706 0.012014590441530216
671 135 693.6380258426422 694.0386170400926 5.771886284352475E-4 0.0653845662624211 0.010966250029741649
657 132 693.6610424638855 694.0555567483259 5.684188831925216E-4 0.061633438443915264 0.013073239178400664
778 167 693.6889675481302 694.1828518090583 7.114613385234498E-4 0.07277593782747593 0.014940228198780344
765 163 693.7216715210551 694.2059618155229 6.97617596370432E-4 0.06565554493382336 0.011859137808828838
481 83 693.7517788127576 694.2505769831545 7.18469940009816E-4 0.06908577711007871 0.015805855158330825
340 57 693.7773538937754 694.3470261763009 8.2044318049815E-4 0.05932699653715064 0.015587950584410808
799 173 693.8211701262186 694.3665309095336 7.854076471696437E-4 0.06190160437613384 0.0157076776864636
687 141 693.8483126256358 694.3705418465738 7.520901153859808E-4 0.05734448233473605 0.015041350545563884
612 120 693.8716241165589 694.5973135652869 0.0010447628209258155 0.07934603738644398 0.025073529072104403
295 49 693.9071017116772 694.6497946146806 0.0010691616246936335 0.04308585362825046 0.01603695330442254
354 60 693.9325961976363 694.7024489536525 0.0011081762518266234 0.08079371368759189 0.021054692646562827
516 93 693.9609855791255 694.7217536872483 0.0010950687870144907 0.09133853488241463 0.02737585403936535
563 108 693.9880429664371 694.7310683193803 0.0010695150783174446 0.07764663691690543 0.024598084857720148
460 78 694.0160066663691 694.7419386129651 0.0010448943791205568 0.05584234512646645 0.01880753526662624
515 92 694.0389721963987 694.7592873708894 0.0010367838006405043 0.11384327179469954 0.029028997681207293
626 123 694.0656749200812 694.762376816792 0.0010027916305757668 0.07212776763537952 0.020055216218004452
628 124 694.0882197958521 694.7975271463403 0.001020883527610472 0.047114304100902525 0.016333653703021558
779 168 694.1199473494153 694.8520587965963 0.0010536220450278314 0.08727473743702158 0.025286134403524455
842 186 694.149153615255 694.8871454483316 0.001062031205945525 0.08748223697012912 0.02442594964972029
394 67 694.1849123728759 694.9431594690568 0.0010910922509981603 0.044157678410939157 0.01636590238732333
679 138 694.2149590468018 695.2387652708778 0.00147259657432523 0.06353609192582704 0.02945103919416638
503 88 694.2556191223308 695.319043464981 0.001529404886353721 0.08260581681163512 0.03211650033487633
755 159 694.2918621890021 695.3631414086541 0.0015406039748983211 0.08364958887121411 0.03543278456899424
406 72 694.330018212355 695.4113859345169 0.0015550043384877968 0.06198553755635923 0.03109914710881351
401 68 694.3552002431454 695.4374740679632 0.0015562489298815208 0.0790378938398507 0.03423641441090511
706 147 694.3933366327252 695.4574407273687 0.0015300779491705613 0.05867231033408095 0.027540574926314957
534 97 694.4270404357759 695.5093497321254 0.0015561391040485445 0.0718612605940766 0.03579010207439073
562 107 694.4527016829711 695.5309431164991 0.0015502422202765698 0.0668908023532199 0.032554095749181236
700 144 694.481144066049 695.536289921457 0.0015170248780651714 0.08124570409008293 0.031856530675251925
545 99 694.5091304354253 695.5754823228278 0.001533049847935339 0.06524783321871186 0.03219306954137979
683 139 694.5393391504581 695.7338439420822 0.0017168990728637968 0.03519902569040209 0.02231904157771256
866 189 694.564577910388 695.7716553494238 0.001734875845768014 0.05968064754747079 0.027757177518891868
639 128 694.5961405569925 695.7870178417475 0.0017115543323140948 0.07186980055570534 0.035941538723674636
