0 1 0
0 2 0
0 3 0
0 4 3.5
0 5 3.5
0 6 5
0 7 7.5
0 8 8.5
0 9 9.5
0 10 10.5
1 2 1.5
1 3 3
1 4 3.5
1 5 3.5
1 6 5
1 7 7.5
1 8 8.5
1 9 9.5
1 10 7.5
2 3 1.5
2 4 2
2 5 2
2 6 3.5
2 7 6
2 8 7
2 9 8
2 10 6
3 4 0.5
3 5 1.5
3 6 3
3 7 5.5
3 8 5.5
3 9 6.5
3 10 10.5
4 5 1
4 6 2.5
4 7 5
4 8 5
4 9 6
4 10 10
5 6 1.5
5 7 4
5 8 5
5 9 6
5 10 10
6 7 2.5
6 8 3.5
6 9 4.5
6 10 8.5
7 8 1
7 9 2
7 10 6
8 9 1
8 10 4
9 10 4
0 0 0
1 1 0
2 2 0
3 3 0
4 4 0
5 5 0
6 6 0
7 7 0
8 8 0
9 9 0
10 10 0
