cost no_attention #_fallas cost_unit_time cycletime failure_prob Cost2_(solociclocompleto) contadorCiclosCompletos
6054.457545179383 6871.315090358347 910.0 476.6636191792488 51086.47740407103 1009.2435471529013 6054.457545179383 3758
6027.988797004455 6806.377594008497 925.0 477.5881091493041 51074.85740407109 1009.1885477461163 6027.988797004455 3758
6117.472094208192 6990.944188415969 918.0 481.2920955373453 51072.533404071124 1009.188086918196 6117.472094208192 3758
5824.966685502392 6446.733371004421 867.0 460.43465076959245 51105.65040407106 1009.5842537120598 5824.966685502392 3758
6297.589724273437 7315.979448546491 962.0 496.90744502224106 51072.53340407106 1009.1575767720168 6297.589724273437 3758
5978.832362913266 6712.864725826172 919.0 474.76985583741 51081.8294040709 1009.225877377188 5978.832362913266 3758
6229.9166821534645 7172.633364306561 972.0 493.8644560342213 51060.91340407107 1008.9775906521448 6229.9166821534645 3758
6020.242206627721 6788.4844132551125 928.0 481.63883695620325 51077.181404071 1008.9577185120257 6020.242206627721 3758
5923.811613822352 6622.823227644369 894.0 469.8320092055447 51092.86840407103 1009.4098614791611 5923.811613822352 3758
6102.283677601585 6929.367355202782 957.0 488.839204391172 51070.20940407102 1008.9722240678227 6102.283677601585 3758
6223.77008055777 7180.340161115083 947.0 495.5191331990996 51067.885404071065 1008.9299807560243 6223.77008055777 3758
6173.989418698651 7073.578837396855 956.0 492.41440135737685 51060.33240407113 1008.8977232025508 6173.989418698651 3758
5895.60071726594 6574.401434531508 884.0 470.50706173650525 51102.74540407103 1009.4477052641937 5895.60071726594 3758
6037.661058209905 6826.522116419399 924.0 479.83872916359496 51081.82940407097 1009.2100165795472 6037.661058209905 3758
6113.356384594237 6970.712769188124 933.0 485.2551670569467 51091.12540407105 1009.2802937997644 6113.356384594237 3758
6018.119885369546 6765.839770738642 951.0 478.92791773534697 51052.77940407107 1008.8225845981242 6018.119885369546 3758
6108.069623914881 6962.539247829359 930.0 484.23214586054127 51080.66740407105 1009.2299737977727 6108.069623914881 3758
5940.203623832973 6659.607247665575 889.0 469.31917971801664 51100.42140407098 1009.5131035167043 5940.203623832973 3758
