176 145
44 146 0.8 1 0.1 0.0191 0.0239 0.01 W 143.7357 0.7053
46 140 0.8 1 0.1 0.0191 0.0239 0.01 W 272.6442 0.7637
46 142 0.8 1 0.1 0.0191 0.0239 0.01 W 209.6988 0.7769
46 148 0.8 1 0.1 0.0191 0.0239 0.01 W 101.8934 0.75
46 149 0.8 1 0.1 0.0191 0.0239 0.01 W 77.9441 0.388
47 140 0.8 1 0.1 0.0191 0.0239 0.01 W 148.3944 0.5116
47 147 0.8 1 0.1 0.0191 0.0239 0.01 W 246.5981 1.5396
47 148 0.8 1 0.1 0.0191 0.0239 0.01 W 260.1674 0.7972
47 149 0.8 1 0.1 0.0191 0.0239 0.01 W 162.2186 0.8106
48 140 0.8 1 0.1 0.0191 0.0239 0.01 W 293.6929 0.9667
48 147 0.8 1 0.1 0.0191 0.0239 0.01 W 247.6397 0.8643
48 149 0.8 1 0.1 0.0191 0.0239 0.01 W 101.711 0.655
49 140 0.8 1 0.1 0.0191 0.0239 0.01 W 90.2737 0.4826
49 141 0.8 1 0.1 0.0191 0.0239 0.01 W 125.1428 0.7839
49 149 0.8 1 0.1 0.0191 0.0239 0.01 W 123.2909 0.7703
49 150 0.8 1 0.1 0.0191 0.0239 0.01 W 147.3407 0.5776
50 141 0.8 1 0.1 0.0191 0.0239 0.01 W 277.362 0.9721
50 150 0.8 1 0.1 0.0191 0.0239 0.01 W 149.0137 0.6827
51 111 0.8 1 0.1 0.0191 0.0239 0.01 W 267.9689 0.6837
56 114 0.8 1 0.1 0.0191 0.0239 0.01 W 193.3625 0.6948
57 100 0.8 1 0.1 0.0191 0.0239 0.01 W 121.4202 0.4518
57 130 0.8 1 0.1 0.0191 0.0239 0.01 W 173.0377 0.6451
57 134 0.8 1 0.1 0.0191 0.0239 0.01 W 152.9809 0.6889
58 85 0.8 1 0.1 0.0191 0.0239 0.01 W 66.845 0.4764
58 100 0.8 1 0.1 0.0191 0.0239 0.01 W 303.9872 1.0251
58 101 0.8 1 0.1 0.0191 0.0239 0.01 W 294.2584 1.27
58 102 0.8 1 0.1 0.0191 0.0239 0.01 W 242.4156 0.9989
58 113 0.8 1 0.1 0.0191 0.0239 0.01 W 127.1331 0.6035
59 82 0.8 1 0.1 0.0191 0.0239 0.01 W 150.9573 1.1886
59 83 0.8 1 0.1 0.0191 0.0239 0.01 W 133.5804 0.8073
59 84 0.8 1 0.1 0.0191 0.0239 0.01 W 35.1422 0.3935
59 86 0.8 1 0.1 0.0191 0.0239 0.01 W 120.7705 0.6209
59 90 0.8 1 0.1 0.0191 0.0239 0.01 W 95.1025 0.4215
59 95 0.8 1 0.1 0.0191 0.0239 0.01 W 143.3357 0.558
