OperationID Site_ID Site_time_routing
0 0 665.0
356 710 669.0819663808921
335 680 669.106289572103
365 729 669.1298451670057
398 787 669.1596352862816
131 295 669.1946377460807
241 509 669.2275034375571
65 135 669.2711562201858
126 284 669.3038234355425
85 190 669.3302391009283
232 492 669.3771320536196
295 612 669.4023447338441
161 361 669.4364139228521
260 535 669.4622210453892
168 368 669.4929592714722
100 227 669.5198721870643
83 186 669.5439046848305
132 296 669.5738608767466
196 430 669.5985144115411
210 452 669.639232558659
95 212 669.6861975548273
11 23 669.7195947976536
17 30 669.7451118179052
32 63 669.7730017412422
49 115 669.7994649797457
81 182 669.8259665509374
42 95 669.8516008199476
19 34 669.8775015973346
12 25 669.9005951519902
135 305 669.9410351468351
28 54 669.9774224241285
31 57 670.0009714131882
111 255 670.0339554224213
252 525 670.0672431823224
72 155 670.1021290732808
59 127 670.1288729036052
71 154 670.154466054015
41 90 670.180831657908
58 126 670.2058985395333
167 367 670.2378008465702
411 819 670.2843329186198
384 761 670.3187031586666
439 873 670.3459963644273
415 825 670.3694641142843
140 315 670.4090477608464
379 750 670.4480697918967
205 446 670.4901414525716
368 732 670.5294876621919
453 899 670.5593867800861
340 689 670.5884491532402
223 476 670.618081236445
407 808 670.6492000803217
329 669 670.6775478574173
222 475 670.7087266527105
448 893 670.7440552096034
190 420 670.7810329731851
413 821 670.8195167855332
444 883 670.8553364226854
376 744 670.8796307551241
369 733 670.9096921128453
319 650 670.9351989137958
247 518 670.96936909757
202 440 670.992030142238
353 706 671.028976780196
286 580 671.055438187057
211 453 671.0806464340736
432 859 671.1175756817561
278 564 671.1478804060155
214 457 671.1730892815548
321 652 671.205172918782
307 632 671.2268325948663
409 810 671.2581367330948
354 707 671.2887010496619
358 716 671.3161965448129
311 636 671.3404458512358
350 703 671.3679120489622
309 634 671.3940227759681
397 786 671.4236826589168
298 618 671.4502691636756
76 172 671.4950402726676
227 483 671.5289392783477
137 311 671.5559235440305
2 3 671.6026035312707
68 143 671.6369453119023
52 119 671.6624805068342
181 397 671.7043170180855
237 499 671.7299265511396
238 502 671.7548357205349
199 434 671.7845957980876
96 219 671.8245731510646
360 719 671.8675022896276
344 696 671.8888108468062
300 621 671.9118488120125
449 895 671.940066284937
332 675 671.9658046053627
115 260 672.0
0 0 665.0
60 129 669.1686682688077
156 353 669.1995765000562
430 856 669.2442783135156
206 448 669.2825060050458
435 863 669.3155495866279
445 886 669.3364496629182
337 685 669.3653801453664
23 42 669.4226760688871
37 76 669.4454554823318
36 73 669.4674858063156
44 97 669.4910875858023
228 484 669.5288693948415
310 635 669.5636666502049
219 470 669.5899957221653
289 589 669.6225792222824
251 522 669.6483947079795
170 370 669.6754188229544
459 916 669.7216249934082
393 781 669.7478289442926
269 549 669.7774140139379
274 559 669.8160864187621
162 362 669.8596161837928
450 896 669.8969433560934
160 360 669.9338925887862
187 416 669.958644651258
277 563 669.9841520006241
443 882 670.0150491149806
331 672 670.0424599151924
273 558 670.0708457645355
456 903 670.109185847092
403 801 670.1329617493006
400 789 670.1652235638728
264 542 670.1951620627112
318 648 670.2337006731419
151 335 670.2692640545819
281 568 670.2970902859705
150 333 670.3243094158225
424 848 670.3616923823204
338 686 670.3864075674817
288 586 670.4147218119248
276 562 670.4381525676039
267 547 670.461442261798
392 780 670.4905301974711
255 529 670.5197137560481
447 892 670.551742037049
294 611 670.5792834862685
366 730 670.6034971551491
262 537 670.6372424040169
124 279 670.6683586334913
195 429 670.6930352648131
302 623 670.7250620212477
174 379 670.7535512959854
434 862 670.7960367574594
455 902 670.8167248265706
423 846 670.8439518468791
408 809 670.872156441971
220 472 670.9028039042596
188 417 670.9255297400064
147 330 670.9479389661685
314 639 670.97831383811
194 424 671.0088161388136
99 225 671.0401472177764
25 48 671.072440202332
225 480 671.1162963423793
279 565 671.1426019608231
82 185 671.1863420868852
171 372 671.217912578125
180 392 671.326829219353
118 265 671.3651357970701
77 177 671.3928192843946
92 208 671.4179790026786
117 262 671.4431507097862
24 47 671.4783156522432
108 246 671.513028326732
88 204 671.5445105548757
3 7 671.5811389233123
39 84 671.6202192077112
134 304 671.6910120027375
0 0 665.0
259 533 665.0228973751059
175 380 665.0495386748134
291 596 665.0823928306288
257 531 665.1086194830108
245 515 665.1315523088102
296 613 665.2189038627538
176 381 665.2519221060714
342 694 665.2834747949535
416 827 665.3098277236552
271 552 665.3593203891413
246 516 665.5212827401199
372 738 665.5493030992569
90 206 665.5911380375298
320 651 665.6369642417716
308 633 665.6590460817359
209 451 665.6865085688344
104 240 665.7342504173773
18 32 665.7695945814492
57 125 665.7987142701073
213 456 665.8354936983727
266 545 665.8599866991328
254 527 665.888554295551
216 461 665.9223711195573
419 835 665.954323645723
93 209 665.9995919774511
33 66 666.0288779879728
7 13 666.0571242203473
193 423 666.1042606917497
89 205 666.1444297538496
243 512 666.1885849767276
208 450 666.2198328324807
454 901 666.2594377196336
173 376 666.2952852956225
55 123 666.3308877645173
385 766 666.3845324821116
149 332 666.4249548012792
15 28 666.468587094889
178 384 666.5115460895549
382 753 666.5485278403693
399 788 666.5770100501085
198 433 666.6092572173646
125 283 666.6486845797749
330 670 666.6912965599857
79 180 666.740545214081
270 550 666.7830916170841
221 474 666.8061199873107
324 663 666.839129826816
362 721 666.872343239555
285 572 666.8977578536507
102 232 666.9370127507733
29 55 666.9691551315777
130 289 667.0116637171589
249 520 667.0419763537925
10 19 667.0888409109252
451 897 667.1471769109319
420 838 667.1721791111927
339 688 667.2032084683382
345 697 667.2300064173429
371 737 667.2515888988455
