#---------------------------------------------------------------------------
# Arc distance
#---------------------------------------------------------------------------
# Automatically generated by John Fontecha on 01 March 2015 01:44:15 GMT
# Instance source file: 'Zona2'
#---------------------------------------------------------------------------
# Centro de Optimización y Probabilidad Aplicada (COPA).
# e-mail: copa@uniandes.edu.co
# url:    http://copa.uniandes.edu.co
#---------------------------------------------------------------------------
# CSV format: ini node, end node,distance
# Note: product ID is set to 1 for a single-product VRP.
#---------------------------------------------------------------------------
0,1,9679.475769828421
0,2,19364.87642789053
0,3,29050.298620286725
0,4,11260.358395956853
0,5,22526.56131913381
0,6,9522.529411630334
0,7,19050.99853554373
0,8,28579.489741557318
0,9,8726.371655674959
0,10,17458.76680367307
0,11,26191.182915697475
0,12,10549.81275558917
0,13,21105.522380335773
0,14,31661.249865310543
0,15,9277.118383274199
0,16,18560.18290654164
0,17,27843.269035850844
0,18,15740.49702065904
0,19,31486.72282631107
0,20,11759.7312218796
0,21,23525.304594921356
0,22,11046.335752491541
0,23,22098.47705250484
0,24,7690.528978185454
0,25,15387.10762612731
0,26,23083.711950426175
0,27,30780.32269000731
0,28,9833.561022602187
0,29,19673.059658682923
0,30,29512.57677831724
0,31,7955.9077538795855
0,32,15917.819004143415
0,33,23879.75392068895
0,34,31841.694750440194
0,35,7373.781735566288
0,36,14753.538756617841
0,37,22133.322240872818
0,38,29513.11233688584
0,39,15789.00163934856
0,40,31583.667289196826
0,41,10669.650232683125
0,42,21345.218318147003
0,43,13197.935952640293
0,44,26401.708908429013
0,45,2294.556121316538
0,46,4595.218426288523
0,47,6895.968170647159
0,48,9196.739730453539
0,49,11497.520009231268
0,50,13798.304645480579
0,51,16099.091770971278
0,52,18399.880451912348
0,53,20700.67016965934
0,54,23001.46061308344
0,55,25302.251584222307
0,56,27603.04295111643
0,57,29903.834622417962
0,58,10792.349715245402
0,59,21590.631153151153
0,60,13015.301562417999
0,61,26036.436353550413
0,62,11585.653330712914
0,63,23177.15709146988
0,64,19367.40739013919
0,65,10096.08513568319
0,66,20198.187649518306
0,67,30300.30628329224
0,68,3775.4591426531592
0,69,7556.902110040787
0,70,11338.393923780826
0,71,15119.897934447725
0,72,18901.40682151989
0,73,22682.918146135347
0,74,26464.430863390004
0,75,30245.944450937848
0,76,6523.379420993312
0,77,13052.95665854705
0,78,19582.550516314634
0,79,26112.14852616612
0,80,10877.954134169915
0,81,21761.835461074657
0,82,10275.84756319172
0,83,20557.667399058766
0,84,30839.49856149285
0,85,10743.837740324572
0,86,21493.593397725428
0,87,9448.31288825126
0,88,18902.738489912324
0,89,28357.178528805525
0,90,19667.028487824668
0,91,11554.257081373096
0,92,23114.363303714013
0,93,11802.520949276492
0,94,23610.950263032308
0,95,10350.046233716053
0,96,20705.976151852512
0,97,31061.91908741793
0,98,16593.702380476385
0,99,9231.43375152675
0,100,18468.86129581898
0,101,27706.301430789652
0,102,12027.958960263262
0,103,24061.826311798748
0,104,9399.805315982952
0,105,18805.639968995067
0,106,28211.49026906974
0,107,14048.30732377428
0,108,28102.444834143214
0,109,10638.27090224533
0,110,21282.43456263633
0,111,31926.61493152797
0,112,12039.359165242799
0,113,24084.708168589477
0,114,11106.23569077348
0,115,22218.39392006339
0,116,12878.31993968496
0,117,25762.47452772673
0,118,17415.54376800211
0,119,9456.879517810028
0,120,18919.700752015433
0,121,28382.538367442805
0,122,15669.131161701618
0,123,31344.02146967696
0,124,9685.144470890904
0,125,19376.246183805408
0,126,29067.356591483458
0,127,13879.93262635015
0,128,27765.69485075256
0,129,10230.18947939599
0,130,20466.315194438503
0,131,30702.45207469557
0,132,8714.93582323824
0,133,17435.863189543583
0,134,26156.80437154092
0,135,12065.036879530611
0,136,24135.960774147643
0,137,10940.7209088511
0,138,21887.416104127846
0,139,11594.196982528003
0,140,23194.353956423725
0,141,13985.512190679023
0,142,27976.869095150618
1,2,9685.432952934723
1,3,19370.865905869447
1,4,1580.8947162763134
1,5,12847.12376696956
1,6,156.96392803440602
1,7,9371.554506901059
1,8,18900.056612547407
1,9,953.1050230093603
1,10,7779.324508127901
1,11,16511.750924933738
1,12,870.3502979281956
1,13,11426.0845851116
1,14,21981.820911131468
1,15,402.36754128246423
1,16,8880.739775779404
1,17,18163.83647095065
1,18,6061.047472420782
1,19,21807.29221765079
1,20,2080.2765631746274
1,21,13845.870914685667
1,22,1366.878057975406
1,23,12419.041185496788
1,24,1988.9637249746672
1,25,5707.659529139955
1,26,13404.275776050232
1,27,21100.892683456303
1,28,154.15928162569568
1,29,9993.621756442071
1,30,19833.147615814014
1,31,1723.5816523552396
1,32,6238.374344429752
1,33,14200.319961666535
1,34,22162.26638612876
1,35,2305.715739287522
1,36,5074.091058335204
1,37,12453.885894860017
1,38,19833.682121889175
1,39,6109.559973328923
1,40,21904.240334451377
1,41,990.2193977499379
1,42,11665.78892176949
1,43,3518.494057934519
1,44,16722.280842409345
1,45,7385.1225548158955
1,46,5084.33181390672
1,47,2783.5453781112165
1,48,482.8247963303296
1,49,1818.0799569175467
1,50,4118.860243973566
1,51,6419.6498909888705
1,52,8720.441489409102
1,53,11021.233817109078
1,54,13322.026496236092
1,55,15622.81937152482
1,56,17923.612367433427
1,57,20224.405442795607
1,58,1112.9332024948787
1,59,11911.20542881355
1,60,3335.8658943138184
1,61,16357.010704332683
1,62,1906.2176527200652
1,63,13497.729045967348
1,64,9687.97473534907
1,65,416.69520104662945
1,66,10518.755045900418
1,67,20620.880384181233
1,68,5904.105598385711
1,69,2122.602224970587
1,70,1658.959614097391
1,71,5440.458004999005
1,72,9221.970999428744
1,73,13003.485856940339
1,74,16785.0013183254
1,75,20566.517050485698
1,76,3156.0974423899597
1,77,3373.5353812285584
1,78,9903.127768810187
1,79,16432.727922557347
1,80,1198.5491287984105
1,81,12082.412481258387
1,82,596.4694650404315
1,83,10878.24289948206
1,84,21160.07793518643
1,85,1064.4270912990658
1,86,11814.168421738696
1,87,231.28000183876415
1,88,9223.30912229413
1,89,18677.75461891379
1,90,9987.604505584923
1,91,1874.8378687634943
1,92,13434.939930318038
1,93,2123.097711492518
1,94,13931.526335297314
1,95,670.6571368559505
1,96,11026.54915886657
1,97,21382.49679859147
1,98,6914.281188438956
1,99,448.1279052134113
1,100,8789.436971745039
